Places,Notes,Formatted address,Latitude,Longitude,Postal code,City,Country,Region,Department,Department number
"Fahouo (Songkang, Kiangsu)",,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
Falknov (Cechy),,"Falknov, 407 45 Kytlice, Czechia",50.806746,14.5398468,407 45,Kytlice,Czechia,Ústí nad Labem Region,Děčín District,Děčín District
"Fankiakata (Hokien, Sienhsien)",,"Xi'an, Shaanxi, China",34.341574,108.93977,,Xi'an,China,Shaanxi,,
Fay-Ie-Froid (France),,,44.9854351,4.2264208,,Fay-sur-Lignon,France,,,
"Feenghsien (Süchow, Kiangsu)",,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
Feihok'ieou (Anhwei),,"Anhui, China",30.6006773,117.9249002,,,China,Anhui,,
"Feldsberg, N.Ö.",,"Valtice, Czechia",48.7406904,16.7549944,,Valtice,Czechia,South Moravian Region,Břeclav District,Břeclav District
Femsterer (Bayern),,,,,,,,,,
Fening (Deutschland),"the only Fenning is in Austria, but cannot be (the brother served in Prussian Army against Austria. Fehling could be the right ones, but there are many of them in the right area",,,,,,,,,
Filipova (Jug),,"Filipová, 788 11 Loučná nad Desnou, Czechia",50.0564144,17.0876416,788 11,Loučná nad Desnou,Czechia,Olomoucký kraj,Šumperk,Šumperk
Filippsdorf (Čechy),,"Filipov, 407 53 Jiříkov, Czechia",50.9851774,14.5948306,407 53,Jiříkov,Czechia,Ústecký kraj,Děčín,Děčín
Fláje (Čecky),,"Fláje, 436 01 Český Jiřetín, Czechia",50.6922607,13.5841012,436 01,Český Jiřetín,Czechia,Ústí nad Labem Region,Most District,Most District
Florianόpolis,,,-27.5973002,-48.5496098,,Florianópolis,Brasil,,,
Fonghoangchau (Liangsu),,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
Fongkia (Hopeh),,"Hebei, China",37.8956594,114.9042208,,,China,Hebei,,
Footchau (Chine),,China,35.86166,104.195397,,,China,,,
Ford,Think can be a typo,,,,,,,,,
Forst per. Landeshut (Schlesien),,"Kamienna Góra, Poland",50.7852076,16.0237177,58,Kamienna Góra,Poland,Lower Silesian Voivodeship,Kamienna Góra County,Kamienna Góra County
"Fort Red, Calif.",Fort Reading?,,,,,,,,,
Foutch'eng (Hopeh),,"Hebei, China",37.8956594,114.9042208,,,China,Hebei,,
Freivalde (Čechy),,"790 01 Jesenik, Czechia",50.2246249,17.1980471,790 01,Jesenik,Czechia,Olomouc Region,Jeseník District,Jeseník District
Freiwaldau (Československo),,"790 01 Jesenik, Czechia",50.2246249,17.1980471,790 01,Jesenik,Czechia,Olomouc Region,Jeseník District,Jeseník District
Frélichov (Morava),,"Jevišovka, Czechia",48.8285898,16.4661596,,Jevišovka,Czechia,South Moravian Region,Břeclav District,Břeclav District
Freundlersdorf (Bayern),"In German, it means ""village of Freundl"", which is actually in Bavaria",,48.2370272,12.1008225,,Freundl,Germany,,,
Friedersdorf (Schlesien),,"Biedrzychowice, Poland",50.3371267,17.9396587,47,Biedrzychowice,Poland,Opole Voivodeship,Prudnik County,Prudnik County
Friedrichsburg,,"Ulitsa Portovaya, 39, Kaliningrad, Kaliningradskaya oblast', Russia, 236013",54.7047043,20.4936294,236013,Kaliningrad,Russia,Kaliningradskaya oblast',Kaliningrad,Kaliningrad
Friedrichstal (Schlesien),,"Zagwiździe, Poland",50.8738721,17.9760244,46,Zagwiździe,Poland,Opole Voivodeship,Opolski,Opolski
Frontès ,,,45.2229347,3.6825873,,Frontès,France,,,
Frydlandt (Cechy),,"Frýdlant, Czechia",50.9213963,15.0797515,,Frýdlant,Czechia,Liberec Region,Liberec District,Liberec District
Fryštak (Holeśou Olomouc Morava),,"763 16 Fryšták, Czechia",49.2852036,17.6834723,763 16,Fryšták,Czechia,Zlin Region,Zlín District,Zlín District
Frýták (Morava),,"763 16 Fryšták, Czechia",49.2852036,17.6834723,763 16,Fryšták,Czechia,Zlin Region,Zlín District,Zlín District
Fürstenau pr Mettkau (Schlesien),,"55-081 Mietków, Poland",50.9744926,16.6503844,55-081,Mietków,Poland,Lower Silesian Voivodeship,wrocławski,wrocławski
Gallaro,"I would think this is Gallarate. The Jesuit is said to pass away there, but the Jesuits had a residence in Gallarate (Milan)",,,,,,,,,
Gallejos (Douro),"there are 3 Gallegos on about the Douro river (one close to Zamora, two to Valladolid. Cannot make this call",,,,,,,,,
Gan,,,43.2294881,-0.38683891,,Gan,France,,,
Gandi,likely Gand (Ghent) Belgium,,,,,,,,,
Gaschiesz (Sopran),,,,,,,,,,
Geike's Loop,,,,,,,,,,
Gelles (Py-de-D),,,44.5137,2.04785,,Gelles,France,,,
Georgswalde (Čechy),,"Jiříkov, Czechia",50.9933714,14.5683488,,Jiříkov,Czechia,Ústí nad Labem Region,Děčín District,Děčín District
GermI,likely Germ?,,48.6174686,15.2886925,,Germ,Austria,,,
Gésir (Liban),Al Jezireh (Syria)?,,,,,,,,,
Gestrzebitz (Čechy),,,50.46313203,14.57160473,,Jestřebice,Czech Republic,,,
Giadri (Albanie),,"Gjadër, Albania",41.8778381,19.5940017,,Gjadër,Albania,Lezhë County,Lezhë District,Lezhë District
"Giovagni (dc Pulaten, Albanie)",Gjoani a village close to Pult where the bishop of Pult (Pulatensis) had his residence. Tricky to locate now: maybe Gjurai?,,,,,,Albania,,,
Gläsendorf (Schlesien),,"57-530 Szklarnia, Poland",50.1569735,16.7022196,57-530,Szklarnia,Poland,Lower Silesian Voivodeship,Kłodzko County,Kłodzko County
Gleiwitz (Schlesien),,"Gliwice, Poland",50.2944923,18.6713802,44,Gliwice,Poland,Silesian Voivodeship,Gliwice County,Gliwice County
Golleow (Schlesien),,"Golejów, Rybnik, Rybnik, Poland",50.1419444,18.5540553,44,Rybnik,Poland,Silesian Voivodeship,Rybnik County,Rybnik County
Gomel' (Moghilev),,"пер Урожайный 1-1, Могилев, 212040, Mogilev, Belarus",53.900032,30.3331076,,Mogilev,Belarus,Mogilev Region,Mahilyow District,Mahilyow District
"Gorkij, RSFSR",,"Nizhny Novgorod, Nizhny Novgorod Oblast, Russia",56.3268684,44.0058793,,Nizhny Novgorod,Russia,Nizhny Novgorod Oblast,Nizhny Novgorod Urban Okrug,Nizhny Novgorod Urban Okrug
Gorodek (Vitebsk),,"Gorodok, Belarus",55.4631638,29.9842096,,Gorodok,Belarus,Vitebsk Region,Haradok District,Haradok District
Gottesberg (Schlesien),,"Boguszów-Gorce, Poland",50.7559487,16.2042957,58,Boguszów-Gorce,Poland,Lower Silesian Voivodeship,Wałbrzych County,Wałbrzych County
Grabersdörfel (Čechy),"can locate only in Austria (grabersdorf) but an annual catalog confirms Bohemia, and this is in the south of Austria (cannot be the same)",,,,,,,,,
Grándorf (Morava),,"569 01 Hradec nad Svitavou, Czechia",49.7114295,16.4805875,569 01,Hradec nad Svitavou,Czechia,Pardubice Region,Svitavy District,Svitavy District
Graniswa (dc Kielcen),Kielce ,,,,,,,,,
Gresses,"There are 2 Gresse in France, + 1 in Aquitaine (but normally those Jesuits enterered the Tolos. Prov. ",,,,,,,,,
Griljan pr Miramare,"Misspelled. Grlijan (or Grignano), Italy",,45.7129997,13.7123533,,Grignano / Grljan,Italy,,,
Grodno Sakołka (Polska),,"Grodno, Belarus",53.6687634,23.8222673,,Grodno,Belarus,Hrodna Region,Grodna District,Grodna District
Grossen (Schlesien),"Likely Gross-Rosen, now Rogoźnica in Lower Silesia",,51.0104092,16.2912096,,Rogoźnica,Poland,,,
Grottkau (Schlesien),,"Grodków, Poland",50.69625,17.38516,49,Grodków,Poland,Opole Voivodeship,Brzeg County,Brzeg County
Grünad Marienbad (Čechy),,Czechia,49.817492,15.472962,,,Czechia,,,
Gücherbach (Rheinland),,,,,,,,,,
Günthersthali (Baden),perhaps Güntersthal?,,49.6079623,11.5092084,,Güntersthal,Germany,,,
Haid b. Tachau (Cechy),,"347 01 Tachov, Czechia",49.7987803,12.6361921,347 01,Tachov,Czechia,Plzeň Region,Tachov District,Tachov District
Haid i. Egerland (Cechy),,"Bor, Czechia",49.7116058,12.775176,,Bor,Czechia,Plzeň Region,Tachov District,Tachov District
"Haiiehieren (Vanhienfou, Chine)",,,,,,,,,,
Haimen (Chine),,"Haimen, Nantong, Jiangsu, China",31.871173,121.181615,,Nantong,China,Jiangsu,,
Haimen (Kiangsu),,"Haimen, Nantong, Jiangsu, China",31.871173,121.181615,,Nantong,China,Jiangsu,,
Haitcheou (Kiangsu),,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
Hambock (Slovensko),perhaps Homok?,,48.0635563,18.9562861,,Homok,Slovakia,,,
Hanchanhien (Anhwei),,"Anhui, China",30.6006773,117.9249002,,,China,Anhui,,
Hangumau (B-Rhin),likley typo for Haguenau,,48.8172236,7.7885978,,Hagenau,France,,,
Heffange (Gr.D.de Luxembourg),,,49.7707883,6.2405201,,,Heffingen,Luxemburg,,
Hermissen (Schweiz),,,,,,,,,,
Heroltovice (Morava),,"Heroltovice, 785 01 VVP Libavá, Czechia",49.736992,17.4885363,785 01,VVP Libavá,Czechia,Olomouc Region,Olomouc District,Olomouc District
Herzogswalde (Schlesien),,"Wierzbnik, Poland",50.7572914,17.3921364,49,Wierzbnik,Poland,Opole Voivodeship,Brzeg County,Brzeg County
"Hildmann, RSFSR",,"Panovka, Republic of Tatarstan, Russia, 422511",55.533198,48.2215587,422511,Panovka,Russia,Republic of Tatarstan,Zelenodolsky District,Zelenodolsky District
Hilkel (Ireland),,,,,,,,,,
Hinghoa (Kiangsu),,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
Hiukow (Hopeh),,"Hebei, China",37.8956594,114.9042208,,,China,Hebei,,
Hluboká ad České Budějovice (Čechy),,"373 41 Hluboká nad Vltavou, Czechia",49.0511239,14.4415939,373 41,Hluboká nad Vltavou,Czechia,South Bohemian Region,České Budějovice District,České Budějovice District
Hoaingan (Chine),,China,35.86166,104.195397,,,China,,,
Hoaiyuen (Anhwei),,"Anhui, China",30.6006773,117.9249002,,,China,Anhui,,
Hobichl (Schlesien),,,,,,,,,,
Hodonín (Morava),,"695 01 Hodonín, Czechia",48.8529391,17.1260025,695 01,Hodonín,Czechia,South Moravian Region,Hodonín District,Hodonín District
Hoeselsthal (Deutschland),spelled Höselsthal,,48.2316127,12.05933,,,Höselsthal,Germany,,
Hokien (Chine),,"Hejian, Cangzhou, Hebei, China",38.446624,116.099517,,Cangzhou,China,Hebei,,
Hokien (Hopeh),,"Hebei, China",37.8956594,114.9042208,,,China,Hebei,,
Hokien (Sienhsien),,China,35.86166,104.195397,,,China,,,
Hokievn (Anwhei),,"Anhui, China",30.6006773,117.9249002,,,China,Anhui,,
Hongkeû (Shanghai),,"Shanghai, China",31.230416,121.473701,,Shanghai,China,Shanghai,,
Horní Jiřetín,,"Horní Jiřetín, Czechia",50.5731,13.5471845,,Horní Jiřetín,Czechia,Ústí nad Labem Region,Most District,Most District
Hostýn (Kroměříž),,"Hostýn, 768 72 Chvalčov, Czechia",49.3769444,17.7,768 72,Chvalčov,Czechia,Zlin Region,Kroměříž District,Kroměříž District
Hostýn (Morava),,"Hostýn, 768 72 Chvalčov, Czechia",49.3769444,17.7,768 72,Chvalčov,Czechia,Zlin Region,Kroměříž District,Kroměříž District
Houpé (Kiangsu),,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
Hradec (Morava),,"Františka Halase 800/14, 500 09 Hradec Králové, Czechia",50.199801,15.8490242,500 09,Hradec Králové,Czechia,Královéhradecký kraj,Hradec Králové,Hradec Králové
Hradec Králové (Čechy),,"Eliščino nábř. 465/7, 500 03 Hradec Králové, Czechia",50.211657,15.8290036,500 03,Hradec Králové,Czechia,Královéhradecký kraj,Hradec Králové,Hradec Králové
Hradex Králové (Čechy),,"Hradec Kralove, Czechia",50.2103605,15.825211,,Hradec Kralove,Czechia,Hradec Králové Region,Hradec Králové District,Hradec Králové District
Hredle-Hořovice (Čechy),,"268 01 Horovice, Czechia",49.8359777,13.9026888,268 01,Horovice,Czechia,Central Bohemian Region,Beroun District,Beroun District
Hrotovice (Morava),,"675 55 Hrotovice, Czechia",49.1077,16.0606772,675 55,Hrotovice,Czechia,Vysocina Region,Třebíč District,Třebíč District
Hrusov (Cechy),,"294 73 Hrušov, Czechia",50.3448727,14.8463815,294 73,Hrušov,Czechia,Central Bohemian Region,Mladá Boleslav District,Mladá Boleslav District
Hsiao Wangtsun (Anhwei),,"Anhui, China",30.6006773,117.9249002,,,China,Anhui,,
Huczko,today spelled Huczek,,49.6144234,22.2044616,,Huczek,Poland,,,
Huštěnovice (Morava),,"687 03 Huštěnovice, Czechia",49.1081705,17.464477,687 03,Huštěnovice,Czechia,Zlin Region,Uherske Hradiste,Uherske Hradiste
Huta Laury (Schlesien),,"Siemianowice Slaskie, Poland",50.3264314,19.0295714,41,Siemianowice Slaskie,Poland,Silesian Voivodeship,Siemianowice Śląskie,Siemianowice Śląskie
Hvězda u Police n/Met (Čechy),,"549 54 Police nad Metují, Czechia",50.5368675,16.2335098,549 54,Police nad Metují,Czechia,Hradec Králové Region,Náchod District,Náchod District
Hwaiyuan (Anhwei),,"Huaiyuan County, Bengbu, Anhui, China",32.970031,117.205237,,Bengbu,China,Anhui,,
"Ilmensee, RSFSR",,"Lake Ilmen, Novgorod Oblast, Russia",58.2465253,31.2723664,,,Russia,Novgorod Oblast,,
"in ""lazarett""",in the hospital,,,,,,,,,
in bello Asbest (Siberia),,"Asbest, Sverdlovsk Oblast, Russia",57.005462,61.4579127,,Asbest,Russia,Sverdlovsk Oblast,Asbestovskiy Gorodskoy Okrug,Asbestovskiy Gorodskoy Okrug
"in bello Babino, RSFSR",Babin,,52.2798883,17.281624,,Babin,Poland,,,
in bello Taiga (Ural RSFSR),,"Ural Mountains, Russia",60.2784931,59.1619065,,,Russia,,,
"in bello Taupse, RSFSR",,"Tuapse, Krasnodar Krai, Russia",44.0961624,39.0745411,,Tuapse,Russia,Krasnodar Krai,Tuapsinsky District,Tuapsinsky District
in camp russico Szaltupie,,"Šaltupys 33276, Lithuania",55.0595349,25.2763479,33276,Šaltupys,Lithuania,Utenos apskritis,Molėtų rajono savivaldybė,Molėtų r. sav.
in campo Benjoebiro,,,,,,,,,,
in campo concentr Rubar,,,,,,,,,,
"in capt. Kamanka, RSFSR",,,55.1713127,40.3457486,,Bol'shaya Kamenka,Russia,,,
"in captivitate, in prov. Kiangsi (Chine)",,"Jiangxi, China",27.0874564,114.9042208,,,China,Jiangxi,,
in carc. Bandee (Java),,,,,,,,,,
in mari (ex Hispania in Aequatorem),,,,,,,,,,
"in mari (in navi de Arend, 131"" 50' orient., 5° 14' austr. Greenwich)",,,5.14,131.5,,,,,,
in mari (pr litus occid Novae Guineae),,,,,,,,,,
in mari Philippinarum,,,19.491411,132.550964,,,,,,
in mari pr Aden,Gulf of Aden?,,12.533115,47.922363,,,,,,
in mari pr Flores,Flores Sea,,-7.1300992,119.2149954,,,,,,
in mari pr Philippinas,,,19.491411,132.550964,,,,,,
in mari pr Simarain (Filipinas),,,,,,,,,,
in mari pr Suez,Gulf of Suez,,28.70372425,33.02038093,,,,,,
in mari Rubro,,,,,,,,,,
in villa San Claver,,,,,,,,,,
"in Villa Scholae Apostolicae, Var)",,,,,,,,,,
Ingling (Chine),,China,35.86166,104.195397,,,China,,,
Inn-Kiatchoang (Hopeh),,"Hebei, China",37.8956594,114.9042208,,,China,Hebei,,
ins. Tsongming (Kiangsu),,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
"Irkutsk, RSFSR",,"Irkutsk, Irkutsk Oblast, Russia",52.2854834,104.2890222,,Irkutsk,Russia,Irkutsk Oblast,Gorod Irkutsk,Gorod Irkutsk
Itu. ,,,,,,,,,,
"Iuwalki, RSFSR","likely Suwałki, Poland",,,,,,,,,
Jablonec (Čechy),,"Jablonec nad Nisou, Czechia",50.7220528,15.1703135,,Jablonec nad Nisou,Czechia,Liberec Region,Jablonec nad Nisou District,Jablonec nad Nisou District
Jaroměřice pr Svitavy (Morava),,"Jaroměřice, Czechia",49.6255612,16.751855,,Jaroměřice,Czechia,Pardubice Region,Svitavy District,Svitavy District
Javornik (Čechy),,"790 70 Javorník, Czechia",50.3907682,17.0027214,790 70,Javorník,Czechia,Olomouc Region,Jeseník District,Jeseník District
Javornik Ruski (Čechy),,"790 70 Javorník, Czechia",50.3907682,17.0027214,790 70,Javorník,Czechia,Olomouc Region,Jeseník District,Jeseník District
"Jazno, BSSR",Язна,,55.42112,28.158484,,Jazno,Belarus,,,
Jedovnice (Morava),,"679 06 Jedovnice, Czechia",49.3445311,16.7559549,679 06,Jedovnice,Czechia,South Moravian Region,Blansko District,Blansko District
Jesbořice (Čechy),,"530 02 Jezbořice, Czechia",49.9805735,15.6946774,530 02,Jezbořice,Czechia,Pardubice Region,Pardubice District,Pardubice District
Jesenice (Čechy),,"252 42 Jesenice, Czechia",49.9681456,14.5135025,252 42,Jesenice,Czechia,Central Bohemian Region,Prague-West District,Prague-West District
Jestbozice (Čechy),Bozice? or Jevišovice (they are in the same district),,,,,,,,,
"Jezierszozyna (Podalia, RSFSR)","The region is misspelled: Podolia, Ukraine",,,,,,,,,
Jihlava (Morava),,"586 01 Jihlava, Czechia",49.3983782,15.5870415,586 01,Jihlava,Czechia,Vysocina Region,Jihlava District,Jihlava District
Jindřichovice pod Smrkem (Čechy),,"463 65 Jindřichovice pod Smrkem, Czechia",50.9608161,15.2495434,463 65,Jindřichovice pod Smrkem,Czechia,Liberec Region,Liberec District,Liberec District
Jinthodia,"Jintodia, a neighborhood in Anand, India",,22.5584995,72.9625629,,Anand,India,,,
Joanne (Minho),"Joane, a parish in Vila Nova / Minho province",,41.4395446,-8.4171938,,Joane,Portugal,,,
Joukao (Kiangsu),,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
"Justinianöv, Li. SSR",,,,,,,,,,
Kačice (Cĕchy),,"273 04 Kačice, Czechia",50.1626156,13.9881599,273 04,Kačice,Czechia,Central Bohemian Region,Kladno District,Kladno District
Kaichow (Chine),,"Kaizhou District, Chongqing, China",31.2699214,108.3816532,,,China,Chongqing,,
"Kainine, RSFSR",,,,,,,,,,
"Kaliningrad (Ponarth), RSFSR",,"Ponarth, Kaliningrad Oblast, Russia, 236005",54.6819,20.4786,236005,Ponarth,Russia,Kaliningrad Oblast,Kaliningrad,Kaliningrad
Kamenec (Čechy),,"Kamenec 100, Jilešovice, 747 92 Háj ve Slezsku, Czechia",49.896646,18.14341,747 92,Háj ve Slezsku,Czechia,Moravskoslezský kraj,Opava,Opava
Kamenz (Schlesien),,"57-240 Kamieniec Ząbkowicki, Poland",50.5251922,16.8791589,57-240,Kamieniec Ząbkowicki,Poland,Lower Silesian Voivodeship,Ząbkowice Śląskie County,Ząbkowice Śląskie County
Kami-Shikika (Schachalin),,"Leonidovo, Sakhalin Oblast, Russia, 694229",49.291889,142.878669,694230,Leonidovo,Russia,Sakhalin Oblast,Poronaiskii,Poronaiskii
Kanarya (Mscisław),,"Mscislaŭ, Belarus",54.0206321,31.7220403,,Mscislaŭ,Belarus,Mogilev Region,Mstsislaw District,Mstsislaw District
Kanarya (Mscisław),,"Mscislaŭ, Belarus",54.0206321,31.7220403,,Mscislaŭ,Belarus,Mogilev Region,Mstsislaw District,Mstsislaw District
Kantwantsih (Anhwei),,"Anhui, China",30.6006773,117.9249002,,,China,Anhui,,
Kaoghiao (Kiangsu),,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
Kaokiao (China),,"Shanghai, China",31.230416,121.473701,,Shanghai,China,Shanghai,,
Kaokiao (Kiangsu),,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
Karf (Schlesien),,"Karb, 41-906 Bytom, Poland",50.3551433,18.8728141,41-906,Bytom,Poland,śląskie,Bytom,Bytom
Karle (Čechy),,"568 02 Karle, Czechia",49.765989,16.3647331,568 02,Karle,Czechia,Pardubice Region,Svitavy District,Svitavy District
Karlice (Čechy),,"798 12 Kralice na Hané, Czechia",49.4629619,17.1804834,798 12,Kralice na Hané,Czechia,Olomouc Region,Prostějov District,Prostějov District
Karlovy Vary (Čechy),,"Karlovy Vary, Czechia",50.2318521,12.8719616,,Karlovy Vary,Czechia,Karlovy Vary Region,Karlovy Vary District,Karlovy Vary District
"Karvina (Fara, Österreiche Schlesien)",,"Karvina, Czechia",49.8566524,18.5432186,,Karvina,Czechia,Moravian-Silesian Region,Karviná District,Karviná District
"Kaunas, Li. SSR",,"Kaunas, Lithuania",54.8985207,23.9035965,,Kaunas,Lithuania,Kaunas County,Kaunas City Municipality,Kaunas City Municipality
Kazan; RSFSR,,"Kazan, Republic of Tatarstan, Russia",55.7878944,49.1233294,,Kazan,Russia,Republic of Tatarstan,Gorod Kazan',Gorod Kazan'
"Keilands, Md.",,,,,,,,,,
Kermachina (Jugoslavija),,,,,,,,,,
Ketting (Flores),,,,,,,,,,
Ki Mwenza (Kwango),"Kimwenza, Congo",,-4.4590321,15.2887241,,Kimwenza,Democratic Republic of the Congo,,,
Kiekiatchouang (Kiangsu),,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
Kinghsien (Chine),,China,35.86166,104.195397,,,China,,,
Kladruby (Čechy),,"Kladruby, Czechia",49.7153076,12.979921,,Kladruby,Czechia,Plzeň Region,Tachov District,Tachov District
Klein Stanisch (Schlesien),,"Staniszcze Małe, Poland",50.6641432,18.3158599,46,Staniszcze Małe,Poland,Opole Voivodeship,Strzelce County,Strzelce County
Klimkovice,,"Klimkovice, Czechia",49.7880905,18.1258606,,Klimkovice,Czechia,Moravian-Silesian Region,Ostrava-City District,Ostrava-City District
Klimoviči (Mścisław),,"Klimavichy, Belarus",53.6102315,31.9587964,,Klimavichy,Belarus,Mogilev Region,Klimavichy District,Klimavichy District
Koberwitz (Schlesien),,"55-040 Kobierzyce, Poland",50.9702085,16.9349701,55-040,Kobierzyce,Poland,Lower Silesian Voivodeship,wrocławski,wrocławski
Kohlsdor (Österreich),,,,,,,,,,
Kojetín (Morava),,"752 01 Kojetín, Czechia",49.3528107,17.30356,752 01,Kojetín,Czechia,Olomouc Region,Přerov District,Přerov District
Kolaokieou (Kiangsu),,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
Kölin,,"280 02 Kolin, Czechia",50.027329,15.2027277,280 02,Kolin,Czechia,Central Bohemian Region,Kolín District,Kolín District
Koloredov and Místek (Morava),,"Frýdek-Místek, Czechia",49.6819305,18.3673216,,Frýdek-Místek,Czechia,Moravian-Silesian Region,Frýdek-Místek District,Frýdek-Místek District
Komarou,,,,,,,,,,
Konglikiao (Anhwei),,"Anhui, China",30.6006773,117.9249002,,,China,Anhui,,
Konglikiao (Chine),,China,35.86166,104.195397,,,China,,,
Königshütte (Schlesien),,"Chorzow, Poland",50.2974884,18.9545728,41,Chorzow,Poland,Silesian Voivodeship,Chorzów,Chorzów
Königswalde(Ćechy),,"Království, 407 47 Šluknov, Czechia",50.9987473,14.4892568,407 47,Šluknov,Czechia,Ústecký kraj,Děčín,Děčín
Korzeń (Moghilev),,"Mogilev, Belarus",53.8980663,30.3325337,,Mogilev,Belarus,Mogilev Region,Mahilyow District,Mahilyow District
"Korzen, BSSR",,"Koren', Belarus",54.3414187,27.7299498,,Koren',Belarus,Minsk Region,Lahoisk District,Lahoisk District
Kosel (Schlesien),,"Koźle, Kędzierzyn-Koźle, Poland",50.3374029,18.1813973,47,Kędzierzyn-Koźle,Poland,Opole Voivodeship,Kędzierzyn-Koźle County,Kędzierzyn-Koźle County
Kosin (Vitebsk),,"Viciebsk, Belarus",55.1926809,30.206359,,Viciebsk,Belarus,Vitebsk Region,Vitsebsk District,Vitsebsk District
Kostenblut (Schlesien),,"Kostomłoty, Poland",51.04569,16.6135983,55,Kostomłoty,Poland,Lower Silesian Voivodeship,Środa Śląska County,Środa Śląska County
Kostolany (Morava),,,,,,,,,,
Koulitsen (Kiangsu),,"Jiangsu, China",33.1401715,119.7889248,,,China,Jiangsu,,
Koutch'eng (Hopeh),,"Hebei, China",37.8956594,114.9042208,,,China,Hebei,,
"Kovališkiai, LiSSR",,,,,,,,,,
Kozlovice (Morava),,"739 47 Kozlovice, Czechia",49.5903943,18.2565719,739 47,Kozlovice,Czechia,Moravian-Silesian Region,Frýdek-Místek District,Frýdek-Místek District
Králiky (Čechy),,"561 69 Králíky, Czechia",50.0838388,16.7605464,561 69,Králíky,Czechia,Pardubice Region,Ústí nad Orlicí District,Ústí nad Orlicí District
Králové Městec (Čechy),,"289 03 Městec Králové, Czechia",50.2071807,15.2975872,289 03,Městec Králové,Czechia,Central Bohemian Region,Nymburk District,Nymburk District
Kratzau (Čechy),,"463 31 Chrastava, Czechia",50.8169272,14.9688466,463 31,Chrastava,Czechia,Liberec Region,Liberec District,Liberec District
Krawarz,,"747 21 Kravaře, Czechia",49.9320298,18.004727,747 21,Kravaře,Czechia,Moravian-Silesian Region,Opava District,Opava District
Kreuzburg (Schlesien),,"Kluczbork, Poland",50.97235,18.2180699,46,Kluczbork,Poland,Opole Voivodeship,Kluczbork County,Kluczbork County
Krumlov (Čechy),,"381 01 Český Krumlov, Czechia",48.8127354,14.3174657,381 01,Český Krumlov,Czechia,South Bohemian Region,Český Krumlov District,Český Krumlov District
Krumlow (Čechy),,"381 01 Český Krumlov, Czechia",48.8127354,14.3174657,381 01,Český Krumlov,Czechia,South Bohemian Region,Český Krumlov District,Český Krumlov District
Krziwetz ,,,,,,,,,,
Kuchelma (Schlesien),,,,,,,,,,
Kulautuwa (Li. SSR),,"Kulautuva, Lithuania",54.9431709,23.6418399,,Kulautuva,Lithuania,Kaunas County,Kaunas District Municipality,Kaunas District Municipality
Kuliai (Li SSR),,"Kuliai, Lithuania",55.8050189,21.6535679,,Kuliai,Lithuania,Telšiai County,Plungė District Municipality,Plungė District Municipality
Kunčice (Morava),,"Kunčice, 719 00 Slezská Ostrava, Czechia",49.8005836,18.2878216,719 00,,Czechia,Moravian-Silesian Region,Ostrava-City District,Ostrava-City District
"Kunigiškès (Kurland, LatSSR)",,"Užkanavės g. 103-1, Palanga 00324, Lithuania",55.9754477,21.0745167,324,Palanga,Lithuania,Klaipėdos apskritis,Palangos miesto savivaldybė,Palangos m. sav.
Kunstat (Morava),,"Zámecká 1, 679 72 Kunštát, Czechia",49.5022702,16.5110828,679 72,Kunštát,Czechia,Jihomoravský kraj,Blansko,Blansko
Kuntost (Livonia),,,,,,,,,,
Kurmi (Malta),,,,,,,,,,
Kuršenai pr Šiauliai (Li SSR),,"Kuršėnai, Lithuania",55.997525,22.9367269,,Kuršėnai,Lithuania,Šiauliai County,Šiauliai District Municipality,Šiauliai District Municipality
"Kuryné (par. Zapyškis, dc Vilkaviškis, LiSSR)",,"Kurynė 71259, Lithuania",54.924155,23.4111999,71259,Kurynė,Lithuania,Marijampolė County,Kazlų Rūda Municipality,Kazlų Rūda Municipality
"La Présentacion, Qué. ","La Presentation, Quebec",,45.665646,-73.049812,,La Présentation,Canada,,,
"Lachy, Bia.",,"Lake Baikal, Russia",53.5587003,108.1649965,,,Russia,,,
"Lachy, Bia. ",,"Lake Baikal, Russia",53.5587003,108.1649965,,,Russia,,,
Lang-Helwigsdorf (Schlesien),,"Pogwizdów, Poland",49.8052397,18.5995021,43,Pogwizdów,Poland,Silesian Voivodeship,Cieszyn County,Cieszyn County
Lawaryszki (Vilnius),,"Lavoriškės, Lithuania",54.7051099,25.6402659,,Lavoriškės,Lithuania,Vilnius County,Vilnius District Municipality,Vilnius District Municipality
Lažinky (Morava),,"Lažínky, 676 02 Moravské Budějovice, Czechia",49.0350124,15.8337168,676 02,Moravské Budějovice,Czechia,Kraj Vysočina,Třebíč,Třebíč
