Places,Places without underlines and Fl Oc,Formatted address,Latitude,Longitude,Postal code,City,Country,Region,Department,Department number
Kilkenny,Kilkenny,"Kilkenny, Ireland",52.6541454,-7.2447879,,Kilkenny,Ireland,County Kilkenny,,
San Esteban Sasroviras (Barcelona),San Esteban Sasroviras (Barcelona),"Sant Esteve Sesrovires, Barcelona, Spain",41.4977209,1.8695872,,,Spain,Catalonia,Barcelona,Barcelona
Bonchamps (Mayenne),Bonchamps (Mayenne),"Bonchamp-lès-Laval, France",48.073661,-0.700079,,Bonchamp-lès-Laval,France,Pays de la Loire,Mayenne,Mayenne
"Quincy, Mass ","Quincy, Mass ","Quincy, MA, USA",42.2528772,-71.0022705,,Quincy,United States,Massachusetts,Norfolk County,Norfolk County
Herten (Limburg),Herten (Limburg),"6049 Herten, Netherlands",51.181315,5.9624494,6049,Herten,Netherlands,Limburg,Roermond,Roermond
Thurles (Tipperary),Thurles (Tipperary),"Thurles, Co. Tipperary, Ireland",52.6801064,-7.8044421,,Thurles,Ireland,County Tipperary,,
Ballingarry (Tipperary),Ballingarry (Tipperary),"Ballingarry Upper, Ballingarry, Co. Tipperary, Ireland",52.5876621,-7.547113,,Ballingarry,Ireland,County Tipperary,,
Miramont (Landes),Miramont (Landes),"40320 Miramont-Sensacq, France",43.594867,-0.327069,40320,Miramont-Sensacq,France,Nouvelle-Aquitaine,Landes,Landes
"Lacadie (St-Jean, Qué)","Lacadie (St-Jean, Qué)","L'Acadie, QC, Canada",45.3193267,-73.3530869,,Saint-Jean-sur-Richelieu,Canada,Quebec,Le Haut-Richelieu Regional County Municipality,Le Haut-Richelieu Regional County Municipality
"*Cobb-Neck, Md. ","*Cobb-Neck, Md. ","Cobb Neck, 5, Thompkinsville, MD 20664, USA",38.3406824,-76.9180266,20664,,United States,Maryland,Charles County,Charles County
"Brzozów, Rzesz","Brzozów, Rzesz","Brzozowa, 35-001 Rzeszów, Poland",50.0659028,22.0421639,35-001,Rzeszów,Poland,Województwo podkarpackie,Rzeszów,Rzeszów
"Sanok, Rzesz","Sanok, Rzesz","Sanok, Poland",49.5550187,22.2060658,38,Sanok,Poland,Podkarpackie Voivodeship,Sanok County,Sanok County
Gandi,Gandi,,,,,,,,,
S. Columbano (Milano),S. Columbano (Milano),"20078 San Colombano al Lambro, Metropolitan City of Milan, Italy",45.1827707,9.4889194,20078,San Colombano al Lambro,Italy,Lombardy,Metropolitan City of Milan,MI
"St-Pie (Bagot, Qué)","St-Pie (Bagot, Qué)","Saint-Pie, QC, Canada",45.5020224,-72.9024231,,Saint-Pie,Canada,Quebec,Les Maskoutains Regional County Municipality,Les Maskoutains Regional County Municipality
Slavkovice (Čechy),Slavkovice (Čechy),"Slavkovice, 398 04 Mišovice, Czechia",49.4917845,14.0204841,398 04,Mišovice,Czechia,Jihočeský kraj,Písek,Písek
"Long Green Valley, Md","Long Green Valley, Md","Glen Arm, MD 21057, USA",39.4731312,-76.5118133,21057,Glen Arm,United States,Maryland,Baltimore County,Baltimore County
Hüttenkofen pr Niederviehbach,Hüttenkofen pr Niederviehbach,"Hüttenkofen, 84100 Niederaichbach, Germany",48.6057776,12.3533391,84100,Niederaichbach,Germany,Bavaria,Lower Bavaria,Lower Bavaria
Valgrisanche (Torino),Valgrisanche (Torino),"Turin, Metropolitan City of Turin, Italy",45.0703393,7.686864,,,Italy,Piedmont,Metropolitan City of Turin,TO
Kalkar (Rheinland),Kalkar (Rheinland),"Monrestraße 3, 47546 Kalkar, Germany",51.7383332,6.2926964,47546,Kalkar,Germany,Nordrhein-Westfalen,Düsseldorf,Düsseldorf
Zele (Fl Or),Zele ,"9240 Zele, Belgium",51.0700765,4.0403498,9240,Zele,Belgium,Flanders,East Flanders,OV
pr Clongowes (Kildare),pr Clongowes (Kildare),"Castlebrown, Co. Kildare, Ireland",53.3106008,-6.6955413,,,Ireland,County Kildare,,
Mauriac (Cantal),Mauriac (Cantal),"15200 Mauriac, France",45.2199787,2.3366114,15200,Mauriac,France,Auvergne-Rhône-Alpes,Cantal,Cantal
"*Vieyna, RSFSR","*Vieyna, RSFSR","Vienna, Austria",48.2081743,16.3738189,,Vienna,Austria,Vienna,,
Roquebrussanne (Var),Roquebrussanne (Var),"83136 La Roquebrussanne, France",43.338073,5.978565,83136,La Roquebrussanne,France,Provence-Alpes-Côte d'Azur,Var,Var
Vahren (Oldenburg),Vahren (Oldenburg),"Oldenburg, Germany",53.1434501,8.2145521,,Oldenburg,Germany,Lower Saxony,,
Hachen (Westfalen),Hachen (Westfalen),"Hachen, 59846 Sundern, Germany",51.3734643,7.9825375,59846,Sundern,Germany,North Rhine-Westphalia,Arnsberg,Arnsberg
Oordeghem (Fl Or),Oordeghem ,"Grote Steenweg 210, 9340 Lede, Belgium",50.9566211,3.9021441,9340,Lede,Belgium,Vlaanderen,Oost-Vlaanderen,OV
Capelle (Nord),Capelle (Nord),"Capelle, France",50.239615,3.556627,,Capelle,France,Hauts-de-France,Nord,Nord
Fürstenthal (Bukovina),Fürstenthal (Bukovina),"Voineasa 247750, Romania",45.4154928,23.963603,247750,Voineasa,Romania,Vâlcea County,Voineasa,Voineasa
Haaltert (Fl Or),Haaltert ,"9450 Haaltert, Belgium",50.90244,4.0056592,9450,Haaltert,Belgium,Flanders,East Flanders,OV
Gavoi (Sassari),Gavoi (Sassari),"08020 Gavoi, Province of Nuoro, Italy",40.1614327,9.2065202,8020,,Italy,Sardinia,Province of Nuoro,NU
Aranda de Duero (Burgos),Aranda de Duero (Burgos),"09400 Aranda de Duero, Burgos, Spain",41.6692282,-3.6902166,9400,Aranda de Duero,Spain,Castile and León,Burgos,Burgos
Pézenas (Hérault),Pézenas (Hérault),"34120 Pézenas, France",43.461531,3.423193,34120,Pézenas,France,Occitanie,Hérault,Hérault
Amorebieta (Vizcaya),Amorebieta (Vizcaya),"Amorebieta-Etxano, Biscay, Spain",43.2204714,-2.7330533,,,Spain,Basque Country,Biscay,BI
Leighlinbridge (Carlow),Leighlinbridge (Carlow),"Leighlinbridge, Co. Carlow, Ireland",52.7357705,-6.974807,,Leighlinbridge,Ireland,County Carlow,,
Viane (Fl Or),Viane ,"Viane, Belgium, 9500 Geraardsbergen, Belgium",50.7435153,3.9227668,9500,Geraardsbergen,Belgium,Flanders,East Flanders,OV
Gaillac (Tarn),Gaillac (Tarn),"81600 Gaillac, France",43.9018159,1.896506,81600,Gaillac,France,Occitanie,Tarn,Tarn
*Bally Mac Quaid (Galway),*Bally Mac Quaid (Galway),"Galway, Ireland",53.270668,-9.0567905,,Galway,Ireland,County Galway,,
St. Vincent (Drôme),St. Vincent (Drôme),"26300 Saint-Vincent-la-Commanderie, France",44.938921,5.116229,26300,Saint-Vincent-la-Commanderie,France,Auvergne-Rhône-Alpes,Drôme,Drôme
Zingshein (Rheinland),Zingshein (Rheinland),"Zingsheim, 53947 Nettersheim, Germany",50.5095239,6.6545244,53947,Nettersheim,Germany,North Rhine-Westphalia,Cologne,K
Leinweiler (Wurllemburg),Leinweiler (Wurllemburg),"Leinweiler Str., 73579 Schechingen, Germany",48.8732493,9.9277325,73579,Schechingen,Germany,Baden-Württemberg,Stuttgart,Süd
Domene (Isere),Domene (Isere),"38420 Domène, France",45.202271,5.838336,38420,Domène,France,Auvergne-Rhône-Alpes,Isere,Isere
Londonderry,Londonderry,"Londonderry, UK",54.9966124,-7.3085748,,Londonderry,United Kingdom,Northern Ireland,Derry and Strabane,Derry and Strabane
Montale (Modena),Montale (Modena),"41051 Montale MO, Italy",44.5736585,10.9065672,41051,Montale,Italy,Emilia-Romagna,Provincia di Modena,MO
Sulsique (Fl Or),Sulsique ,"Zulzeke, 9690 Kluisbergen, Belgium",50.7889651,3.5708891,9690,Kluisbergen,Belgium,Flanders,East Flanders,OV
Vinsobres (Drome),Vinsobres (Drome),"26110 Vinsobres, France",44.333249,5.061363,26110,Vinsobres,France,Auvergne-Rhône-Alpes,Drôme,Drôme
Charleville (Cork),Charleville (Cork),"Rathgoggan Middle, Charleville, Co. Cork, Ireland",52.3549076,-8.6831774,,Charleville,Ireland,County Cork,,
Lorris (Loiret),Lorris (Loiret),"45260 Lorris, France",47.889431,2.513268,45260,Lorris,France,Centre-Val de Loire,Loiret,Loiret
St-Symphorien-d'Ancelles (Saonret-L),St-Symphorien-d'Ancelles (Saonret-L),"71570 Saint-Symphorien-d'Ancelles, France",46.1962094,4.7687831,71570,Saint-Symphorien-d'Ancelles,France,Bourgogne-Franche-Comté,Saône-et-Loire,Saône-et-Loire
Soustons (Landes),Soustons (Landes),"40140 Soustons, France",43.75562,-1.326638,40140,Soustons,France,Nouvelle-Aquitaine,Landes,Landes
Auch (Gers),Auch (Gers),"32000 Auch, France",43.64638,0.586709,32000,Auch,France,Occitanie,Gers,Gers
Brienza (Potenza),Brienza (Potenza),"85050 Brienza, Province of Potenza, Italy",40.4764155,15.627619,85050,Brienza,Italy,Basilicata,Province of Potenza,PZ
Waspic (N-Brabant),Waspic (N-Brabant),"5165 Waspik, Netherlands",51.685585,4.9495377,5165,Waspik,Netherlands,North Brabant,Waalwijk,Waalwijk
S.Pietro a Patierno (Napoli),S.Pietro a Patierno (Napoli),"San Pietro a Patierno, Napoli NA, Italy",40.8926141,14.2873194,,Napoli,Italy,Campania,Città Metropolitana di Napoli,NA
St-Agathon (Cotes-du-N),St-Agathon (Cotes-du-N),"22200 Saint-Agathon, France",48.558375,-3.103892,22200,Saint-Agathon,France,Brittany,Côtes-d'Armor,Côtes-d'Armor
S. Prospero d'Imola (Bologna),S. Prospero d'Imola (Bologna),"Via S. Prospero, 40026 Imola BO, Italy",44.3626202,11.7460884,40026,Imola,Italy,Emilia-Romagna,Città Metropolitana di Bologna,BO
Boe (Lot-et-G),Boe (Lot-et-G),"47550 Boé, France",44.159599,0.628594,47550,Boé,France,Nouvelle-Aquitaine,Lot-et-Garonne,Lot-et-Garonne
Tonneins (Lot-et-G),Tonneins (Lot-et-G),"47400 Tonneins, France",44.391183,0.308179,47400,Tonneins,France,Nouvelle-Aquitaine,Lot-et-Garonne,Lot-et-Garonne
Arles (B-du-Rhone),Arles (B-du-Rhone),"Arles, France",43.676647,4.6277769,,Arles,France,Provence-Alpes-Côte d'Azur,Bouches-du-Rhone,Bouches-du-Rhone
Aldeadávila de la Ribera (Salamanca),Aldeadávila de la Ribera (Salamanca),"37250 Aldeadávila de la Ribera, Salamanca, Spain",41.2177451,-6.6139773,37250,Aldeadávila de la Ribera,Spain,Castile and León,Salamanca,SA
"Cormano (par. St-Jeoire-in Faucigny, H-Savoie)","Cormano (par. St-Jeoire-in Faucigny, H-Savoie)","Immeuble 'Les Airets, 115 Rue du Faucigny, 74490 Saint-Jeoire, France",46.1383586,6.4580947,74490,Saint-Jeoire,France,Auvergne-Rhône-Alpes,Haute-Savoie,Haute-Savoie
Vilkano (Čechy),Vilkano (Čechy),,,,,,,,,
Zakynthos,Zakynthos,"Zakynthos, Greece",37.7870331,20.8998759,,,Greece,,,
Bulbuente (Zaragoza),Bulbuente (Zaragoza),"50546 Bulbuente, Zaragoza, Spain",41.8185062,-1.60264,50546,Bulbuente,Spain,Aragon,Zaragoza,Z
Vosselare (Anvers),Vosselare (Anvers),"Antwerp, Belgium",51.2194475,4.4024643,,Antwerp,Belgium,Flanders,Antwerp,AN
Quintã (Minho),Quintã (Minho),"Lugar De Barrio, Lanhoso, Braga, 4830, Portugal",41.5737124,-8.2912342,4830,,Portugal,Braga,,
St-Pierre-la-Coeur (Mayenne),St-Pierre-la-Coeur (Mayenne),"53410 Saint-Pierre-la-Cour, France",48.114749,-1.026311,53410,Saint-Pierre-la-Cour,France,Pays de la Loire,Mayenne,Mayenne
St-Faust (B-Pyrénées),St-Faust (B-Pyrénées),"64110 Saint-Faust, France",43.271631,-0.448031,64110,Saint-Faust,France,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Pyrénées-Atlantiques
"St-Martin, Qué","St-Martin, Qué","Saint-Martin, QC G0M 1B0, Canada",45.9595089,-70.6563014,G0M 1B0,Saint-Martin,Canada,Quebec,Beauce-Sartigan Regional County Municipality,Beauce-Sartigan Regional County Municipality
Ste-Pazanne (Loire-A),Ste-Pazanne (Loire-A),"44680 Sainte-Pazanne, France",47.103074,-1.811393,44680,Sainte-Pazanne,France,Pays de la Loire,Loire-Atlantique,Loire-Atlantique
Plouzévédé (Finistère),Plouzévédé (Finistère),"29440 Plouzévédé, France",48.596207,-4.113679,29440,Plouzévédé,France,Brittany,Finistere,Finistere
Moncortés (Lérida),Moncortés (Lérida),"25513 Montcortès, Lleida, Spain",42.3288676,1.0050757,25513,Montcortès,Spain,Catalunya,Lleida,Lleida
Providence R.I.,Providence R.I.,"Providence, RI, USA",41.8239891,-71.4128343,,Providence,United States,Rhode Island,Providence County,Providence County
Doazit (Landes),Doazit (Landes),"40700 Doazit, France",43.6906869,-0.645244,40700,Doazit,France,Nouvelle-Aquitaine,Landes,Landes
Limoges (H-Vienne),Limoges (H-Vienne),"Limoges, France",45.833619,1.261105,,Limoges,France,Nouvelle-Aquitaine,Haute-Vienne,Haute-Vienne
Wiltz (Gr. D. de Luxembourg),Wiltz (Gr. D. de Luxembourg),"Wiltz, Luxembourg",49.96622,5.9324306,,Wiltz,Luxembourg,Diekirch,Wiltz,Wiltz
Assieu (Isère),Assieu (Isère),"38150 Assieu, France",45.407327,4.868911,38150,Assieu,France,Auvergne-Rhône-Alpes,Isere,Isere
Terezín (Čechy),Terezín (Čechy),"Principova alej 304, 411 55 Terezín, Czechia",50.5137361,14.1646197,411 55,Terezín,Czechia,Ústecký kraj,Litoměřice,Litoměřice
Ballyclogh (Cork),Ballyclogh (Cork),"Rathnee, Ballyclogh, Co. Cork, Ireland",52.1673919,-8.742242,,Ballyclogh,Ireland,County Cork,,
Mons (Var),Mons (Var),"Mons, France",43.690922,6.713804,,Mons,France,Provence-Alpes-Côte d'Azur,Var,Var
Cuccaro (Salerno),Cuccaro (Salerno),"84050 Cuccaro Vetere, SA, Italy",40.1608788,15.3081893,84050,Cuccaro Vetere,Italy,Campania,Province of Salerno,SA
Frúniz (Vizcaya),Frúniz (Vizcaya),"48116 Fruiz, Biscay, Spain",43.3279087,-2.7840861,48116,Fruiz,Spain,Basque Country,Biscay,BI
"Strumień, Kat","Strumień, Kat","Strumień, Poland",49.9168442,18.7639258,43,Strumień,Poland,Silesian Voivodeship,Cieszyn County,Cieszyn County
Decazeville (Aveyron),Decazeville (Aveyron),"12300 Decazeville, France",44.560317,2.25183,12300,Decazeville,France,Occitanie,Aveyron,Aveyron
Merléac (Côtes-du-N),Merléac (Côtes-du-N),"22460 Merléac, France",48.278367,-2.899238,22460,Merléac,France,Brittany,Côtes-d'Armor,Côtes-d'Armor
Wateringen (Z-Holland),Wateringen (Z-Holland),"Wateringen, Netherlands",52.0246823,4.2741049,,Wateringen,Netherlands,South Holland,Westland,Westland
Ceráin (Guipúzcoa),Ceráin (Guipúzcoa),"20214 Zerain, Gipuzkoa, Spain",43.0112717,-2.2725799,20214,Zerain,Spain,Basque Country,Gipuzkoa,SS
Rosdorf ,Rosdorf ,"Rosdorf, Germany",51.50648,9.90029,,Rosdorf,Germany,Lower Saxony,Kassel,KS
Villalba (Caltanissetta),Villalba (Caltanissetta),"93010 Villalba, Sicily, Province of Caltanissetta, Italy",37.6557673,13.8454869,93010,"Villalba, Sicily",Italy,Sicily,Province of Caltanissetta,CL
Landifay (Aisne),Landifay (Aisne),"02120 Landifay-et-Bertaignemont, France",49.816819,3.602835,2120,Landifay-et-Bertaignemont,France,Hauts-de-France,Aisne,Aisne
Obernai (B-Rhin),Obernai (B-Rhin),"67210 Obernai, France",48.46226,7.48168,67210,Obernai,France,Grand Est,Bas-Rhin,Bas-Rhin
Allo (Navarra),Allo (Navarra),"Allo, Navarre, Spain",42.566321,-2.0187484,,Allo,Spain,Navarre,Navarre,NA
Castress,Castress,"81100 Castres, France",43.606214,2.241295,81100,Castres,France,Occitanie,Tarn,Tarn
Villeneuve-lès-Avignon (Gard),Villeneuve-lès-Avignon (Gard),"Villeneuve-lès-Avignon, France",43.96341,4.796959,,Villeneuve-lès-Avignon,France,Occitanie,Gard,Gard
Friescheim (Rheinland),Friescheim (Rheinland),"Friesheim, 50374 Erftstadt, Germany",50.7572068,6.7732396,50374,Erftstadt,Germany,North Rhine-Westphalia,Cologne,K
"Quincy, Ill.","Quincy, Ill.","Quincy, IL, USA",39.9356016,-91.4098726,,Quincy,United States,Illinois,Adams County,Adams County
"Annagh (qualis?, Ireland)","Annagh (qualis?, Ireland)","Annagh, Co. Cavan, Ireland",54.1205322,-7.5643356,,,Ireland,County Cavan,,
Oiano (dc. Reatin),Oiano (dc. Reatin),"02025 Oiano, Province of Rieti, Italy",42.2634089,13.0835913,2025,Oiano,Italy,Lazio,Province of Rieti,RI
Zibello (Parma),Zibello (Parma),"43010 Zibello PR, Italy",45.0197731,10.1322715,43010,Zibello,Italy,Emilia-Romagna,Provincia di Parma,PR
St-Georges-l'Agricol (H-Loire),St-Georges-l'Agricol (H-Loire),"43500 Saint-Georges-Lagricol, France",45.2958939,3.887019,43500,Saint-Georges-Lagricol,France,Auvergne-Rhône-Alpes,Haute-Loire,Haute-Loire
"Steyr, O.Ö.","Steyr, O.Ö.","Steyr, Austria",48.05009,14.41827,,Steyr,Austria,Upper Austria,Steyr,Steyr
St-Pierre-Riviére-de-Sud,St-Pierre-Riviére-de-Sud,"Saint-Pierre-de-la-Rivière-du-Sud, QC G0R 4B0, Canada",46.914774,-70.626671,G0R 4B0,Saint-Pierre-de-la-Rivière-du-Sud,Canada,Québec,Montmagny,Montmagny
St-Quirin (Meurthe),St-Quirin (Meurthe),"57560 Saint-Quirin, France",48.609772,7.064772,57560,Saint-Quirin,France,Grand Est,Moselle,Moselle
Isolabona (Imperia),Isolabona (Imperia),"18035 Isolabona, Province of Imperia, Italy",43.8792346,7.639033,18035,Isolabona,Italy,Liguria,Province of Imperia,IM
S. Juan de la Encinilla (Ávila),S. Juan de la Encinilla (Ávila),"05358 San Juan de la Encinilla, Ávila, Spain",40.8303327,-4.8384534,5358,San Juan de la Encinilla,Spain,Castile and León,Ávila,Ávila
Chaunai (Vienne),Chaunai (Vienne),"86510 Chaunay, France",46.206155,0.163433,86510,Chaunay,France,Nouvelle-Aquitaine,Vienne,Vienne
"Froide-Fontaine (par. Mignovillard, Jura)","Froide-Fontaine (par. Mignovillard, Jura)","Froidefontaine, 39250 Mignovillard, France",46.78667,6.110038,39250,Mignovillard,France,Bourgogne-Franche-Comté,Jura,Jura
Schafhausen ,Schafhausen ,"Schaffhausen, Switzerland",47.6958897,8.6380489,,Schaffhausen,Switzerland,Schaffhausen,Schaffhausen District,Schaffhausen District
Villeneuve-d'Agen (Lot-et-G),Villeneuve-d'Agen (Lot-et-G),"47300 Villeneuve-sur-Lot, France",44.4082053,0.7072568,47300,Villeneuve-sur-Lot,France,Nouvelle-Aquitaine,Lot-et-Garonne,Lot-et-Garonne
St-Crépin (H-Alpes),St-Crépin (H-Alpes),"05600 Saint-Crépin, France",44.706765,6.607159,5600,Saint-Crépin,France,Provence-Alpes-Côte d'Azur,Hautes-Alpes,Hautes-Alpes
St.-Gilles-lès-Termonde (Fl Or),St.-Gilles-lès-Termonde ,"Sint-Gillis-bij-Dendermonde, 9200 Dendermonde, Belgium",51.0174597,4.1126682,9200,Dendermonde,Belgium,Flanders,East Flanders,OV
Campi Bisenzio (Firenze),Campi Bisenzio (Firenze),"50013 Campi Bisenzio, Metropolitan City of Florence, Italy",43.8274885,11.1277659,50013,,Italy,Tuscany,Metropolitan City of Florence,FI
Marq (Hainaut),Marq (Hainaut),"Marcq, 7850 Enghien, Belgium",50.6914447,4.0154,7850,Enghien,Belgium,Wallonia,Hainaut,HT
Bellevaux (H-Savoie),Bellevaux (H-Savoie),"74470 Bellevaux, France",46.256606,6.530689,74470,Bellevaux,France,Auvergne-Rhône-Alpes,Haute-Savoie,Haute-Savoie
Soullans (Vendée),Soullans (Vendée),"85300 Soullans, France",46.795782,-1.901805,85300,Soullans,France,Pays de la Loire,Vendée,Vendée
Parm,Parm,"Parma, Province of Parma, Italy",44.801485,10.3279036,,Parma,Italy,Emilia-Romagna,Province of Parma,PR
Funchal (Madeira),Funchal (Madeira),"Funchal, Portugal",32.6669328,-16.9240554,,Funchal,Portugal,Madeira,,
Gazzo (Cremona),Gazzo (Cremona),"26035 Gazzo, Province of Cremona, Italy",45.1395257,10.1888009,26035,Gazzo,Italy,Lombardy,Province of Cremona,CR
Guingamp (Côtes-du-N),Guingamp (Côtes-du-N),"22200 Guingamp, France",48.561366,-3.148352,22200,Guingamp,France,Brittany,Côtes-d'Armor,Côtes-d'Armor
Werxhausen (Hannover),Werxhausen (Hannover),"Waldhausen, Hannover, Germany",52.3482845,9.769134,,Hannover,Germany,Niedersachsen,,
*Vallisblora (Nice),*Vallisblora (Nice),"Nice, France",43.7101728,7.2619532,,Nice,France,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Alpes-Maritimes
Navan (Meath),Navan (Meath),"Navan, Co. Meath, Ireland",53.647092,-6.6966605,,Navan,Ireland,County Meath,,
Vogogna (Novara),Vogogna (Novara),"28100 Novara, Province of Novara, Italy",45.44693,8.6221612,28100,Novara,Italy,Piedmont,Province of Novara,NO
Henvic (Finistère),Henvic (Finistère),"29670 Henvic, France",48.632457,-3.927531,29670,Henvic,France,Brittany,Finistere,Finistere
Lede (Fl Or),Lede ,"9340 Lede, Belgium",50.9658595,3.9773738,9340,Lede,Belgium,Flanders,East Flanders,OV
Ballycahill (Tipperary),Ballycahill (Tipperary),"Moneydass, Ballycahill, Co. Tipperary, Ireland",52.6889283,-7.9048891,,Ballycahill,Ireland,County Tipperary,,
Leuze (Hainaut),Leuze (Hainaut),"Leuze-en-Hainaut, Belgium",50.6000942,3.6262371,,Leuze-en-Hainaut,Belgium,Wallonia,Hainaut,HT
Ste-Hermine (Vendée),Ste-Hermine (Vendée),"85210 Sainte-Hermine, France",46.555152,-1.0587819,85210,Sainte-Hermine,France,Pays de la Loire,Vendée,Vendée
"Torino (a Saluzzo, Cuneo)","Torino (a Saluzzo, Cuneo)","Via Torino, 12037 Saluzzo CN, Italy",44.6490434,7.4914962,12037,Saluzzo,Italy,Piemonte,Provincia di Cuneo,CN
Nordhorn (Hannover),Nordhorn (Hannover),"Nino-Allee 11, 48529 Nordhorn, Germany",52.4260429,7.0714296,48529,Nordhorn,Germany,Niedersachsen,,
Anguiozar (Guipúzcoa),Anguiozar (Guipúzcoa),"20578 Angiozar, Gipuzkoa, Spain",43.1138868,-2.4718514,20578,Angiozar,Spain,Basque Country,Gipuzkoa,SS
Rimini ,Rimini ,"Rimini, Province of Rimini, Italy",44.0678288,12.5695158,,Rimini,Italy,Emilia-Romagna,Province of Rimini,RN
"Alexandria, Va","Alexandria, Va","Alexandria, VA, USA",38.8048355,-77.0469214,,Alexandria,United States,Virginia,,
Paranhos do Cima (Beira Baixa),Paranhos do Cima (Beira Baixa),"Paranhos, Porto, Portugal",41.1753841,-8.607517,,Porto,Portugal,Porto District,,
Thiene (Vicenza) ,Thiene (Vicenza) ,"Thiene, Province of Vicenza, Italy",45.7070408,11.4773537,,Thiene,Italy,Veneto,Province of Vicenza,VI
Aulendorf (Württemberg),Aulendorf (Württemberg),"88326 Aulendorf, Germany",47.9502469,9.6377896,88326,Aulendorf,Germany,Baden-Württemberg,Tübingen,TÜ
Villatoro (Burgos),Villatoro (Burgos),"09006 Villatoro, Burgos, Spain",42.3744592,-3.6933872,9006,Villatoro,Spain,Castilla y León,Burgos,Burgos
"Halifaz, N.S. ","Halifaz, N.S. ","Halifax Regional Municipality, NS, Canada",44.6487635,-63.5752387,,,Canada,Nova Scotia,Halifax Regional Municipality,Halifax Regional Municipality
Büren,Büren,"33142 Büren, Germany",51.55092,8.5597678,33142,Büren,Germany,North Rhine-Westphalia,Detmold,Detmold
Secondigliano (Napoli),Secondigliano (Napoli),"Secondigliano, 80144 Naples, Metropolitan City of Naples, Italy",40.8922073,14.261485,80144,Naples,Italy,Campania,Metropolitan City of Naples,NA
La Garde (Corrèze),La Garde (Corrèze),"La Garde, 19220 Saint-Julien-aux-Bois, France",45.1323,2.119815,19220,Saint-Julien-aux-Bois,France,Nouvelle-Aquitaine,Corrèze,Corrèze
Piolenc (Vaucluse) ,Piolenc (Vaucluse) ,"Piolenc, France",44.1795184,4.762183,,Piolenc,France,Provence-Alpes-Côte d'Azur,Vaucluse,Vaucluse
La Muraz (H-Savoie),La Muraz (H-Savoie),"74560 La Muraz, France",46.124075,6.205254,74560,La Muraz,France,Auvergne-Rhône-Alpes,Haute-Savoie,Haute-Savoie
"Iwonicz, Rzesz","Iwonicz, Rzesz","Iwonicz, Poland",49.6034495,21.7995984,38,Iwonicz,Poland,Podkarpackie Voivodeship,krośnieński,krośnieński
Aldeia do Matto (Beira Baixa),Aldeia do Matto (Beira Baixa),"2200-601 Aldeia do Mato, Portugal",39.5429559,-8.2720268,2200-601,Aldeia do Mato,Portugal,Santarém,,
Horrues (Hainaut),Horrues (Hainaut),"Horrues, 7060 Soignies, Belgium",50.6085349,4.0427256,7060,Soignies,Belgium,Wallonia,Hainaut,HT
Salignac (B-Alpes),Salignac (B-Alpes),"04290 Salignac, France",44.1622137,5.9885456,4290,Salignac,France,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Alpes-de-Haute-Provence
Kothen,Kothen,"Köthen (Anhalt), Germany",51.7505762,11.9802357,,Köthen (Anhalt),Germany,Saxony-Anhalt,,
Massevaux (H-Rhin),Massevaux (H-Rhin),"68290 Masevaux, France",47.774558,6.996478,68290,Masevaux,France,Grand Est,Haut-Rhin,Haut-Rhin
Delsberg (Berg),Delsberg (Berg),"Delémont, Switzerland",47.365837,7.3451555,,Delémont,Switzerland,Jura,Delémont District,Delémont District
Mercury-Gemilly (Savoie),Mercury-Gemilly (Savoie),"Gémilly, 73200 Mercury, France",45.666218,6.33258,73200,Mercury,France,Auvergne-Rhône-Alpes,Savoie,Savoie
Lambezellec (Finistrere),Lambezellec (Finistrere),"Lambézellec, Brest, France",48.4262999,-4.4903012,,Brest,France,Brittany,Finistere,Finistere
Fossombrone (Pesaro),Fossombrone (Pesaro),"61034 Fossombrone, Province of Pesaro and Urbino, Italy",43.6886585,12.8033192,61034,Fossombrone,Italy,Marche,Province of Pesaro and Urbino,PU
Bitche (Moselle),Bitche (Moselle),"57230 Bitche, France",49.050415,7.427276,57230,Bitche,France,Grand Est,Moselle,Moselle
Willebroeck (Anvers),Willebroeck (Anvers),"2830 Willebroek, Belgium",51.05983,4.36404,2830,Willebroek,Belgium,Flanders,Antwerp,AN
Kientzhein (H-Rhin),Kientzhein (H-Rhin),"Kientzheim, 68240 Kaysersberg-Vignoble, France",48.1365798,7.2872446,68240,Kaysersberg-Vignoble,France,Grand Est,Haut-Rhin,Haut-Rhin
"Laprairie, Que","Laprairie, Que","30 Boulevard Taschereau #110, La Prairie, QC J5R 5H7, Canada",45.4252778,-73.4836111,J5R 5H7,La Prairie,Canada,Québec,Roussillon,Roussillon
Hangest-en-Sangterre (Somme),Hangest-en-Sangterre (Somme),"80134 Hangest-en-Santerre, France",49.7545969,2.603746,80134,Hangest-en-Santerre,France,Hauts-de-France,Somme,Somme
Manteigas (Beira Baixa),Manteigas (Beira Baixa),"6260 Manteigas, Portugal",40.4022206,-7.5383393,6260,Manteigas,Portugal,Guarda District,,
Benevagienna (Cuneo),Benevagienna (Cuneo),"12041 Bene Vagienna, Province of Cuneo, Italy",44.5426467,7.8269217,12041,Bene Vagienna,Italy,Piedmont,Province of Cuneo,CN
